id,Country_Code,Year,Forest_Area,Forest_pct,Forest_pct_yoy_change,Forest_pct_total_change,Agri_land_pct,Urban_pop,Population_Total,Population_growth,GDP_growth,Mining_metal_exports,Electricity_consumption,Tertiary_education,co2_per_capita
0,ABW,1990,4.199999869,2.33333326,-9999,-9999,11.11111111,31273,62149,1.813641093,2.092910106,1.096536009,-9999,-9999,26.37450321
1,AFG,1990,13500,2.067824648,-9999,-9999,58.26670343,2628554,12412308,4.476896508,-9999,-9999,-9999,2.211410046,0.210643419
2,AGO,1990,609760,48.90992219,-9999,-9999,46.04475816,4400964,11848386,3.378480754,-6.657532178,6.2225979,53.1717991,0.553070009,0.431743615
3,ALB,1990,7887.999878,28.78832072,-9999,-9999,40.91240876,1197222,3286542,1.799085593,-11.1879053,-9999,552.2521848,8.366359711,1.678106654
4,AND,1990,160,34.04255319,-9999,-9999,48.93617021,51627,54509,3.854362309,-0.142614682,-9999,-9999,-9999,7.467335669
5,ARB,1990,194668.5,1.732633546,-9999,-9999,31.53460073,112206722,222653373,3.67835016,9.097890623,-9999,1072.669053,11.0605402,3.016958841
6,ARE,1990,2450,3.44973247,-9999,-9999,4.012954097,1445394,1828432,5.783701378,11.67839789,-9999,8500.726305,-9999,28.44462414
7,ARG,1990,347930,12.7135335,-9999,-9999,46.61287906,28373007,32618651,1.452983278,-3.874103165,2.446849693,1303.977899,-9999,3.438151412
8,ARM,1990,3350,11.76677204,-9999,-9999,-9999,2385470,3538171,0.04797414,-9999,-9999,2722.593114,23.20482063,1.678106654
9,ASM,1990,183.8999939,91.94999695,-9999,-9999,15,38326,47347,3.116907008,-9999,-9999,-9999,-9999,1.678106654
10,ATG,1990,103.0000019,23.40909134,-9999,-9999,20.45454545,22151,62528,0.835104744,2.154973552,-9999,-9999,-9999,4.515720957
11,AUS,1990,1285410,16.73209846,-9999,-9999,60.46119001,14579227,17065100,1.479978016,2.047433609,20.81028285,8527.228085,35.35955048,15.45288167
12,AUT,1990,37760,45.72535723,-9999,-9999,36.61782396,4833974,7677850,0.762001611,3.553547807,3.465070751,6111.47652,32.5364418,7.513246156
13,AZE,1990,8520,10.23829266,-9999,-9999,-9999,3847891,7159000,0.44966151,-9999,-9999,2575.639056,24.19890976,1.678106654
14,BDI,1990,2890,11.25389408,-9999,-9999,82.16510903,341077,5438957,2.454760909,0.990079088,-9999,-9999,0.702390015,0.038429978
15,BEL,1990,6670,-9999,-9999,-9999,-9999,9606261,9967379,0.298235706,2.830268111,4.222142936,6380.31322,37.68367004,10.63967167
16,BEN,1990,57610,51.09081234,-9999,-9999,20.13125222,1716834,4978496,3.235058983,5.507107214,-9999,34.95031431,2.155380011,0.142157591
17,BFA,1990,68470,25.0255848,-9999,-9999,34.99634503,1217244,8811034,2.659151577,-3.211214443,-9999,-9999,0.756060004,0.066173051
18,BGD,1990,14940,11.47729892,-9999,-9999,79.78796958,20439396,103171956,2.429599019,3.086984024,-9999,49.78096955,4.208960056,0.150558472
19,BGR,1990,33270,30.07321703,-9999,-9999,55.67206002,5786939,8718289,-1.803750479,-7.463207655,-9999,4758.731903,26.15537071,8.54301079
20,BHR,1990,2.199999988,0.318840578,-9999,-9999,11.5942029,437114,495931,3.038867721,1.312002572,52.82668963,15621.12471,-9999,25.05885496
21,BHS,1990,5150,51.44855145,-9999,-9999,1.198801199,204563,256223,1.767915704,-3.320656503,-9999,-9999,-9999,7.613851996
22,BIH,1990,22100,43.1640625,-9999,-9999,-9999,1751849,4463423,-0.989859326,-9999,-9999,2937.655696,-9999,1.678106654
23,BLR,1990,77800,38.35535397,-9999,-9999,-9999,6722804,10189000,0.186649693,-9999,-9999,4380.900972,49.51082993,1.678106654
24,BLZ,1990,16160.30029,70.84743662,-9999,-9999,5.523893029,89022,187552,2.20104244,9.017270339,-9999,-9999,-9999,1.66191243
25,BMU,1990,10,18.51851819,-9999,-9999,5.555555678,59326,59326,0.824255196,-0.79846154,0.000296021,-9999,-9999,8.468108418
26,BOL,1990,627950,57.96639897,-9999,-9999,32.72869934,3815273,6864842,2.115896027,2.445059947,44.08630703,266.1386817,-9999,0.838648581
27,BRA,1990,5467050,65.40988785,-9999,-9999,28.90690991,110146163,149003223,1.811518179,-4.841871,13.55863503,1460.760349,-9999,1.40189577
28,BRB,1990,63.00000191,14.65116323,-9999,-9999,44.18604651,97512,260936,0.37589338,-3.662773713,0.085596314,-9999,16.75686073,4.11760355
29,BRN,1990,4130,78.36812144,-9999,-9999,2.087286528,171889,258721,2.847428342,-1.748433606,0.044225599,4325.122429,-9999,23.9391584
30,BTN,1990,25067.09961,53.65045193,-9999,-9999,9.716842219,86988,530804,1.638239725,9.074810647,-9999,-9999,-9999,0.241793581
31,BWA,1990,137180,24.20552997,-9999,-9999,45.91428017,539575,1286756,3.340333628,3.265163365,-9999,769.376634,-9999,2.100304176
32,CAF,1990,225600,36.21304055,-9999,-9999,8.035570965,1033580,2806734,2.197309532,-4.274199417,-9999,-9999,1.429080009,0.070551039
33,CAN,1990,3482730,38.29907264,-9999,-9999,7.452347883,21206427,27691138,1.507660673,-1.335276183,8.569746937,16167.37456,90.52835083,15.71554138
34,CEB,1990,352930,31.94439667,-9999,-9999,-9999,67987254,110743128,-0.052807883,-9999,-9999,3744.05173,17.40418053,9.014576307
35,CHE,1990,11510,29.11786355,-9999,-9999,40.62080981,4964515,6715519,1.026873072,2.615466243,2.658966442,7445.292017,25.60500908,6.345085168
36,CHI,1990,8.000000119,4.040404256,-9999,-9999,42.92929458,44159,140671,0.78360687,-9999,-9999,-9999,-9999,1.678106654
37,CHL,1990,152630,20.52769667,-9999,-9999,21.3830734,11053911,13274623,1.639514769,1.653208892,54.61492945,1237.624601,-9999,2.509652817
38,CHN,1990,1571405.938,16.73800695,-9999,-9999,53.86456475,300165618,1135185000,1.467303211,2.393612459,2.081450139,510.6198549,2.972559929,2.151570906
39,CIV,1990,102220,32.14465409,-9999,-9999,59.52830189,4691843,11924877,3.606675304,-4.599496549,-9999,160.4209419,-9999,0.422209051
40,CMR,1990,243160,51.43957183,-9999,-9999,19.39878572,4671629,11780088,3.053669227,-8.929583562,6.878977394,199.0647269,2.918879986,0.147239223
41,COD,1990,1603630,70.73641958,-9999,-9999,11.45100461,10602701,34612023,3.370801299,-9.665218755,-9999,130.8793768,2.150490046,0.117599887
42,COG,1990,227260,66.54758419,-9999,-9999,30.80819912,1280274,2356737,2.734463971,-1.72438665,-9999,173.9693483,4.804389954,0.504132621
43,COL,1990,644170,58.05948626,-9999,-9999,40.63361875,23000000,33102575,1.967956348,2.249835748,0.167896963,871.5938262,14.65400982,1.732107306
44,COM,1990,490,26.32992928,-9999,-9999,61.25738649,114707,411594,2.949330295,2.037009748,-9999,-9999,0.690100014,0.151457504
45,CPV,1990,577.5,14.33002481,-9999,-9999,16.87344913,149104,337950,2.023894084,-1.325246962,-9999,-9999,-9999,0.282118657
