Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,yoy_delta_1991,yoy_delta_1992,yoy_delta_1993,yoy_delta_1994,yoy_delta_1995,yoy_delta_1996,yoy_delta_1997,yoy_delta_1998,yoy_delta_1999,yoy_delta_2000,yoy_delta_2001,yoy_delta_2002,yoy_delta_2003,yoy_delta_2004,yoy_delta_2005,yoy_delta_2006,yoy_delta_2007,yoy_delta_2008,yoy_delta_2009,yoy_delta_2010,yoy_delta_2011,yoy_delta_2012,yoy_delta_2013,yoy_delta_2014,yoy_delta_2015,yoy_delta_2016,total_delta_1991,total_delta_1992,total_delta_1993,total_delta_1994,total_delta_1995,total_delta_1996,total_delta_1997,total_delta_1998,total_delta_1999,total_delta_2000,total_delta_2001,total_delta_2002,total_delta_2003,total_delta_2004,total_delta_2005,total_delta_2006,total_delta_2007,total_delta_2008,total_delta_2009,total_delta_2010,total_delta_2011,total_delta_2012,total_delta_2013,total_delta_2014,total_delta_2015,total_delta_2016
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,48.90992219,48.80981729,48.70971239,48.60961062,48.50950572,48.40940082,48.30929592,48.20919101,48.10908925,48.00898434,47.90887944,47.80877454,47.70866964,47.60856787,47.50846297,47.40835807,47.30825316,47.20814826,47.10804649,47.00794159,46.90783669,46.80773179,46.70762688,46.60752512,46.50742021,46.40731531,46.30721041,-0.1001049,-0.1001049,-0.10010177,-0.1001049,-0.1001049,-0.1001049,-0.10010491,-0.10010176,-0.10010491,-0.1001049,-0.1001049,-0.1001049,-0.10010177,-0.1001049,-0.1001049,-0.10010491,-0.1001049,-0.10010177,-0.1001049,-0.1001049,-0.1001049,-0.10010491,-0.10010176,-0.10010491,-0.1001049,-0.1001049,-0.1001049,-0.2002098,-0.30031157,-0.40041647,-0.50052137,-0.60062627,-0.70073118,-0.80083294,-0.90093785,-1.00104275,-1.10114765,-1.20125255,-1.30135432,-1.40145922,-1.50156412,-1.60166903,-1.70177393,-1.8018757,-1.9019806,-2.0020855,-2.1021904,-2.20229531,-2.30239707,-2.40250198,-2.50260688,-2.60271178
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,28.78832072,28.71715239,28.64598629,28.57481796,28.50364964,28.43248131,28.36131298,28.29014688,28.21897855,28.14781022,28.07664189,28.17226215,28.26788241,28.36350267,28.45912516,28.55474542,28.51021871,28.46569423,28.42116753,28.37664305,28.33211634,28.29708127,28.26204397,28.22700668,28.1919716,28.15693431,28.12189701,-0.07116833,-0.0711661,-0.07116833,-0.07116832,-0.07116833,-0.07116833,-0.0711661,-0.07116833,-0.07116833,-0.07116833,0.09562026,0.09562026,0.09562026,0.09562249,0.09562026,-0.04452671,-0.04452448,-0.0445267,-0.04452448,-0.04452671,-0.03503507,-0.0350373,-0.03503729,-0.03503508,-0.03503729,-0.0350373,-0.07116833,-0.14233443,-0.21350276,-0.28467108,-0.35583941,-0.42700774,-0.49817384,-0.56934217,-0.6405105,-0.71167883,-0.61605857,-0.52043831,-0.42481805,-0.32919556,-0.2335753,-0.27810201,-0.32262649,-0.36715319,-0.41167767,-0.45620438,-0.49123945,-0.52627675,-0.56131404,-0.59634912,-0.63138641,-0.66642371
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arab World,ARB,Forest area (% of land area),AG.LND.FRST.ZS,1.732633546,1.727573626,1.72251157,1.717451703,1.712392723,1.707332812,1.702273791,1.697213921,1.692154943,1.687095963,1.682036052,1.683075647,1.684114311,1.685179963,1.686220144,1.687258255,1.693576654,1.699901841,1.70622771,1.71293858,1.7192695,1.713112687,1.706957034,1.700830065,1.694674616,1.688517408,1.682361256,-0.00505992,-0.005062056,-0.005059867,-0.00505898,-0.005059911,-0.005059021,-0.00505987,-0.005058978,-0.00505898,-0.005059911,0.001039595,0.001038664,0.001065652,0.001040181,0.001038111,0.006318399,0.006325187,0.006325869,0.00671087,0.00633092,-0.006156813,-0.006155653,-0.006126969,-0.006155449,-0.006157208,-0.006156152,-0.00505992,-0.010121976,-0.015181843,-0.020240823,-0.025300734,-0.030359755,-0.035419625,-0.040478603,-0.045537583,-0.050597494,-0.049557899,-0.048519235,-0.047453583,-0.046413402,-0.045375291,-0.039056892,-0.032731705,-0.026405836,-0.019694966,-0.013364046,-0.019520859,-0.025676512,-0.031803481,-0.03795893,-0.044116138,-0.05027229
United Arab Emirates,ARE,Forest area (% of land area),AG.LND.FRST.ZS,3.44973247,3.541255984,3.632779499,3.724303013,3.815826528,3.907350042,3.998873557,4.090397071,4.181920586,4.2734441,4.364967615,4.370599745,4.376231875,4.381864435,4.387496566,4.393128696,4.408054035,4.422979374,4.437904712,4.452830051,4.46775539,4.482680729,4.497606497,4.512531836,4.527457175,4.542382513,4.557307852,0.091523514,0.091523515,0.091523514,0.091523515,0.091523514,0.091523515,0.091523514,0.091523515,0.091523514,0.091523515,0.00563213,0.00563213,0.00563256,0.005632131,0.00563213,0.014925339,0.014925339,0.014925338,0.014925339,0.014925339,0.014925339,0.014925768,0.014925339,0.014925339,0.014925338,0.014925339,0.091523514,0.183047029,0.274570543,0.366094058,0.457617572,0.549141087,0.640664601,0.732188116,0.82371163,0.915235145,0.920867275,0.926499405,0.932131965,0.937764096,0.943396226,0.958321565,0.973246904,0.988172242,1.003097581,1.01802292,1.032948259,1.047874027,1.062799366,1.077724705,1.092650043,1.107575382
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,12.7135335,12.60635995,12.4991864,12.39201428,12.28484073,12.17766718,12.07049363,11.9633208,11.85614725,11.74897441,11.64180086,11.51946301,11.39712587,11.27478801,11.15245087,11.03011302,10.91391425,10.79771549,10.68151672,10.56531796,10.44911919,10.34066672,10.23221497,10.1237625,10.01531075,9.906858285,9.798405818,-0.10717355,-0.10717355,-0.10717212,-0.10717355,-0.10717355,-0.10717355,-0.10717283,-0.10717355,-0.10717284,-0.10717355,-0.12233785,-0.12233714,-0.12233786,-0.12233714,-0.12233785,-0.11619877,-0.11619876,-0.11619877,-0.11619876,-0.11619877,-0.10845247,-0.10845175,-0.10845247,-0.10845175,-0.108452465,-0.108452467,-0.10717355,-0.2143471,-0.32151922,-0.42869277,-0.53586632,-0.64303987,-0.7502127,-0.85738625,-0.96455909,-1.07173264,-1.19407049,-1.31640763,-1.43874549,-1.56108263,-1.68342048,-1.79961925,-1.91581801,-2.03201678,-2.14821554,-2.26441431,-2.37286678,-2.48131853,-2.589771,-2.69822275,-2.806675215,-2.915127682
Armenia,ARM,Forest area (% of land area),AG.LND.FRST.ZS,11.76677204,11.75272216,11.75272238,11.74569701,11.73867272,11.73164735,11.72462198,11.71759769,11.71057232,11.70354802,11.69652266,11.68949729,11.68247299,11.67544763,11.66842333,11.66139796,11.6543726,11.6473483,11.64032293,11.63329864,11.62627327,11.63329864,11.64032293,11.6473483,11.6543726,11.66139796,11.66842333,-0.01404988,2.20E-07,-0.00702537,-0.00702429,-0.00702537,-0.00702537,-0.00702429,-0.00702537,-0.0070243,-0.00702536,-0.00702537,-0.0070243,-0.00702536,-0.0070243,-0.00702537,-0.00702536,-0.0070243,-0.00702537,-0.00702429,-0.00702537,0.00702537,0.00702429,0.00702537,0.0070243,0.00702536,0.00702537,-0.01404988,-0.01404966,-0.02107503,-0.02809932,-0.03512469,-0.04215006,-0.04917435,-0.05619972,-0.06322402,-0.07024938,-0.07727475,-0.08429905,-0.09132441,-0.09834871,-0.10537408,-0.11239944,-0.11942374,-0.12644911,-0.1334734,-0.14049877,-0.1334734,-0.12644911,-0.11942374,-0.11239944,-0.10537408,-0.09834871
American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,91.94999695,91.75000191,91.59999847,91.45000458,91.25,91.09999657,90.95000267,90.74999809,90.6000042,90.39999962,90.24999619,90.10000229,89.89999771,89.75000381,89.54999924,89.3999958,89.25000191,89.04999733,88.90000343,88.75,88.54999542,88.40000153,88.19999695,88.05000305,87.89999962,87.70000458,87.5,-0.19999504,-0.15000344,-0.14999389,-0.20000458,-0.15000343,-0.1499939,-0.20000458,-0.14999389,-0.20000458,-0.15000343,-0.1499939,-0.20000458,-0.1499939,-0.20000457,-0.15000344,-0.14999389,-0.20000458,-0.1499939,-0.15000343,-0.20000458,-0.14999389,-0.20000458,-0.1499939,-0.15000343,-0.19999504,-0.20000458,-0.19999504,-0.34999848,-0.49999237,-0.69999695,-0.85000038,-0.99999428,-1.19999886,-1.34999275,-1.54999733,-1.70000076,-1.84999466,-2.04999924,-2.19999314,-2.39999771,-2.55000115,-2.69999504,-2.89999962,-3.04999352,-3.19999695,-3.40000153,-3.54999542,-3.75,-3.8999939,-4.04999733,-4.24999237,-4.44999695
